student_id,gender,age,gpa1,gpa2,gpa3,gpa4,ar1,ar2,ar3,ar4,drop_out
1900006098,1,23,1.3,3.4,1.3,2.4,34.5,12.0,0.0,53.0,1
1900007549,0,23,3.3,0.4,3.1,2.7,100.0,48.0,76.0,90.0,1
1900007763,1,23,7.0,6.1,3.8,3.5,0.0,18.1,2.3,17.2,0
1900007784,1,23,9.2,9.4,6.9,7.5,15.0,2.2,16.099999999999998,8.9,0
1900008106,1,23,4.7,7.7,3.1,7.2,7.7,0.0,19.1,7.9,0
1900009054,1,24,8.7,6.3,10.0,9.7,14.6,8.9,9.7,0.0,0
1900009380,1,23,7.0,9.9,7.9,9.2,0.0,19.8,2.4,0.0,0
1911546534,1,23,7.8,6.2,8.4,7.3,7.1,14.7,20.0,17.2,0
1911547275,1,23,9.5,3.7,3.9,8.5,0.0,4.2,8.2,13.2,0
1911547710,0,23,8.6,3.5,8.4,8.0,0.0,3.8,3.5,6.2,0
1911548779,1,23,8.0,7.3,4.3,8.9,6.0,7.2,13.9,0.0,0
1911549027,1,23,6.4,5.4,7.2,9.9,0.0,17.1,3.7,17.8,0
1911549123,1,24,6.7,4.2,7.5,5.4,0.0,18.4,13.4,15.9,0
1911549351,1,23,6.5,3.7,4.5,6.1,0.0,18.4,19.9,18.2,0
1911549395,1,24,9.2,4.5,6.6,5.1,9.0,16.3,35.0,8.8,0
2000000050,1,24,2.6,3.1,3.7,0.6,67.2,56.0,75.0,80.0,1
2000000558,1,22,8.0,9.0,7.1,8.3,0.0,0.0,2.5,3.35,0
2000000655,1,22,3.0,2.3,1.9,1.3,43.0,32.5,45.0,22.5,1
2000000740,1,22,7.7,8.9,7.6,6.2,0.0,1.1,0.5666666666666667,0.0,0
2000000998,1,23,7.0,8.2,6.9,8.1,0.0,1.75,10.0,4.2,0
2000001001,1,22,7.2,7.8,8.2,6.4,0.0,0.0,0.0,1.9500000000000002,0
2000001008,1,22,9.7,5.1,7.9,7.0,0.0,2.2,2.2333333333333334,0.0,0
2000001094,1,22,10.0,6.8,8.4,6.6,0.0,0.0,1.7,0.0,0
2000001371,1,22,9.5,7.6,7.4,7.0,0.0,18.3,11.6,11.4,0
2000001452,1,22,6.8,5.5,7.4,6.6,0.0,0.0,7.766666666666667,1.1,0
2000001530,1,22,8.4,7.6,6.3,6.9,0.0,2.2,7.233333333333333,0.0,0
2000002097,1,22,7.1,7.4,7.2,7.0,13.8,2.2,10.0,7.199999999999999,0
2000002177,1,22,8.8,7.2,3.3,9.7,0.0,4.4,10.6,17.1,0
