attendance_id,student_id,course_id,date,permission,absent_class_periods,reason
114,2000004365,100107462101,05/08/2023,2,0,
115,2000004365,100107462101,12/08/2023,2,0,
116,2000004365,100107462101,19/08/2023,2,0,
117,2000004365,100107462101,26/08/2023,0,4,
118,2000004365,100107462101,29/07/2023,0,4,
119,2000004365,100107462101,31/08/2023,2,0,
120,2000004490,100107462101,05/08/2023,0,4,
121,2000004490,100107462101,12/08/2023,0,4,
122,2000004490,100107462101,19/08/2023,0,4,
123,2000004490,100107462101,26/08/2023,0,4,
124,2000004490,100107462101,29/07/2023,0,4,
125,2000004490,100107462101,31/08/2023,0,4,
126,2000005479,100107462101,05/08/2023,2,0,
127,2000005479,100107462101,12/08/2023,2,0,
128,2000005479,100107462101,19/08/2023,2,0,
129,2000005479,100107462101,26/08/2023,2,0,
130,2000005479,100107462101,29/07/2023,2,0,
131,2000005479,100107462101,31/08/2023,2,0,
132,2000006161,100107462101,05/08/2023,2,0,
133,2000006161,100107462101,12/08/2023,2,0,
134,2000006161,100107462101,19/08/2023,2,0,
135,2000006161,100107462101,26/08/2023,2,0,
136,2000006161,100107462101,29/07/2023,2,0,
137,2000006161,100107462101,31/08/2023,2,0,
138,2000006633,100107462101,05/08/2023,2,0,
139,2000006633,100107462101,12/08/2023,2,0,
140,2000006633,100107462101,19/08/2023,0,4,
141,2000006633,100107462101,26/08/2023,0,4,
142,2000006633,100107462101,29/07/2023,2,0,
143,2000006633,100107462101,31/08/2023,2,0,
144,2011549832,100107462101,05/08/2023,2,0,
145,2011549832,100107462101,12/08/2023,0,4,
146,2011549832,100107462101,19/08/2023,0,4,
147,2011549832,100107462101,26/08/2023,2,0,
148,2011549832,100107462101,29/07/2023,0,4,
149,2011549832,100107462101,31/08/2023,0,4,
150,2011551765,100107462101,05/08/2023,2,0,
151,2011551765,100107462101,12/08/2023,2,0,
152,2011551765,100107462101,19/08/2023,2,0,
153,2011551765,100107462101,26/08/2023,2,0,
