student_id,subject_id
2000001008,40
2000004387,40
2000000998,40
2000002380,40
2000003127,40
2011549746,40
2000004220,40
2000005302,40
2000006161,40
2000003074,40
2000004701,40
2000001001,40
2000006018,40
2000005824,40
2000003434,40
2000000558,40
2000001452,40
2000002441,40
2000003649,40
2000004457,40
2000003076,40
2000003418,40
2000003979,40
2000002449,40
2000004154,40
2000004070,40
2000002672,40
2000003678,40
2000002725,40
2000004968,40
2000004900,40
2000005153,40
2011549832,40
2000006638,40
2000002665,40
2000002514,40
2000004110,40
2000005479,40
2000004278,40
2000002677,40
2000002779,40
2000004365,40
2000003640,40
2000006345,40
2000001530,40
2000002924,40
2000003730,40
2000003645,40
2000002097,40
2011551765,40
2000004394,40
2000003308,40
2000000050,40
2000002664,40
2000000740,40
2200002193,15
2200002160,15
2200008171,15
2200003659,15
2200001108,15
2200007177,15
2100004235,15
2200009428,15
2200002592,15
2200003109,15
2200004209,15
2200000327,15
2200005098,15
2200003906,15
2200005193,15
2200001483,15
2200006122,15
2200002333,15
2200007079,15
2200011240,15
2200011643,15
2200010487,15
2200004831,15
2200006748,15
2200007265,15
2200009571,15
2200009501,15
2200010286,15
2200005824,15
2200009261,15
2200006124,15
2200005842,15
2200002925,15
2200010174,15
2200011295,15
2000004968,29
2000000998,29
1911547275,29
2000005153,29
1911549123,29
2000002665,29
2000005479,29
2000001001,29
2000006633,29
2000003434,29
2000004278,29
2000000558,29
2100004923,29
2000001452,29
2000004897,29
2000002441,29
2000004365,29
2000003649,29
2000003076,29
1911547710,29
2000001530,29
1900007763,29
1911549027,29
1900009380,29
1900007549,29
2000004070,29
2000003678,29
2000003308,29
2000000050,29
2000002664,29
1911549351,29
2000000740,29
2000001094,35
2000004387,35
2000000998,35
2000002380,35
2000003127,35
2011549746,35
2000002665,35
2000006161,35
2000003074,35
2000004110,35
2000004701,35
2000001001,35
2000006018,35
2000005824,35
2000003434,35
2000000558,35
2000001452,35
2000002677,35
2000002441,35
2000004365,35
1900009054,35
2000003418,35
2000003979,35
2000003730,35
2000000655,35
2000002449,35
2000004154,35
2000004070,35
2000002725,35
2000003308,35
2000002664,35
2000001008,35
2000004968,35
2000005153,35
2000004220,35
2000005302,35
2000004278,35
1911548779,35
2000003640,35
2000003905,35
2000001530,35
1900008106,35
2000002097,35
2000004762,35
1900007784,35
2000002491,35
1900006098,35
2200002309,3
2200003358,3
2200002135,3
2200002704,3
2200002193,3
2200003451,3
2000000998,3
2200002160,3
2200006775,3
2200004133,3
2200002824,3
2200011116,3
2200003930,3
2200002592,3
2200002238,3
2200003614,3
2200002540,3
2200008277,3
2200003649,3
2200009759,3
2200003539,3
2200003174,3
2200000318,3
2200010474,3
2200003893,3
2200006549,3
2200002340,3
2200002464,3
2200000633,3
2200002177,3
2200000601,3
2200001578,3
2200002925,3
2200010174,3
2200011295,3
2200002438,3
2100006285,48
2100010687,48
2100004729,48
2100008134,48
2100006970,48
2100004426,48
2100012076,48
2200000873,48
2100003979,48
2100012040,48
2100004703,48
2100002892,48
2100004822,48
2100004816,48
2100002375,48
2100005011,48
2100009421,48
2100004330,48
2100003991,48
2100008178,48
2100010263,48
2100007994,48
2100003025,48
2100008107,48
2100011852,48
1900007784,48
2100002891,48
2100008035,48
2100012066,48
2100006443,48
2100006642,48
2100004092,48
2100011741,48
2100005569,48
2100005423,48
2100004337,48
2100005686,48
2100011740,48
2100012116,48
2100004750,48
2100009490,48
2100003779,48
2100005858,48
2100003284,48
2100004235,48
2100003978,48
2100012291,48
2100009840,48
2100004451,48
2100010779,48
2200001377,48
2100009299,48
2100004998,48
2100005929,48
2100009011,48
2100010315,48
2100011992,48
2100011976,48
2100002939,48
2100002240,48
2100002440,48
2100008882,48
2100002099,48
2100006019,48
2100009025,48
2100005112,48
2200004202,15
2200002309,15
2200009907,15
2200006775,15
2200004133,15
2200010444,15
2200003930,15
2200009232,15
2200008421,15
2200003614,15
2200000578,15
2200002540,15
2200003539,15
2200003174,15
2200008609,15
2200008906,15
2200009825,15
2200007239,15
2200003885,15
2200007007,15
2200002340,15
2200007066,15
2200007072,15
2200007143,15
2200008716,15
2200008798,15
2200002177,15
2200002455,15
2200000601,15
2200007240,15
2200007402,15
2200004759,15
2200007710,15
2200002438,15
2200006612,15
2200010565,15
2200000268,15
2200001492,15
2200001259,15
2200011039,15
2200002824,15
2200009882,15
2200000400,15
2200004236,15
2200006625,15
