attendance id,student id
469,2100002099
545,2100002099
621,2100002099
472,2100002891
511,2100002891
597,2100002891
626,2100002891
467,2100002892
512,2100002892
470,2100003025
497,2100003025
596,2100003025
629,2100003025
471,2100003284
529,2100003284
466,2100003978
530,2100003978
468,2100003979
503,2100003979
463,2100004426
506,2100004426
473,2100004816
510,2100004816
632,2100004816
464,2100005011
509,2100005011
447,2100005569
537,2100005569
457,2100005686
538,2100005686
633,2100005686
455,2100005929
539,2100005929
453,2100006285
499,2100006285
458,2100006443
494,2100006443
449,2100008035
495,2100008035
593,2100008035
604,2100008035
459,2100008107
513,2100008107
576,2100008107
607,2100008107
448,2100008134
502,2100008134
587,2100008134
630,2100008134
462,2100008178
496,2100008178
578,2100008178
623,2100008178
461,2100009421
500,2100009421
586,2100009421
634,2100009421
460,2100009490
554,2100009490
622,2100009490
452,2100009840
552,2100009840
561,2100009840
624,2100009840
451,2100010315
531,2100010315
563,2100010315
631,2100010315
456,2100011740
559,2100011740
560,2100011740
618,2100011740
454,2100012040
516,2100012040
583,2100012040
601,2100012040
450,2100012291
555,2100012291
569,2100012291
602,2100012291
489,2100002375
522,2100002375
590,2100002375
482,2100002440
548,2100002440
582,2100002440
485,2100004330
526,2100004330
580,2100004330
603,2100004330
483,2100004750
547,2100004750
577,2100004750
619,2100004750
480,2100005112
558,2100005112
589,2100005112
606,2100005112
481,2100005113
570,2100005113
477,2100006019
546,2100006019
573,2100006019
609,2100006019
478,2100006053
575,2100006053
488,2100007107
579,2100007107
491,2100009299
527,2100009299
581,2100009299
610,2100009299
474,2100011741
518,2100011741
585,2100011741
479,2100011848
476,2100011852
520,2100011852
588,2100011852
611,2100011852
493,2100011976
544,2100011976
486,2100011992
534,2100011992
566,2100011992
612,2100011992
490,2100012116
533,2100012116
584,2100012116
514,2100004822
521,2100007994
523,2100012076
540,2100004451
613,2100004451
541,2100004998
562,2100004998
615,2100004998
542,2100009025
616,2100009025
543,2100010779
565,2100010779
614,2100010779
591,2100011230
