attendance id,student id
0,1900007784
121,1900007784
385,1900007784
517,1900007784
27,2000000050
72,2000000050
670,2000000050
25,2000000655
117,2000000655
283,2000000655
383,2000000655
24,2000000740
83,2000000740
250,2000000740
330,2000000740
666,2000000740
28,2000001094
119,2000001094
276,2000001094
379,2000001094
26,2000001530
74,2000001530
120,2000001530
284,2000001530
384,2000001530
669,2000001530
22,2000002664
77,2000002664
90,2000002664
279,2000002664
377,2000002664
671,2000002664
10,2000002665
73,2000002665
96,2000002665
281,2000002665
376,2000002665
672,2000002665
1,2000002677
111,2000002677
285,2000002677
375,2000002677
673,2000002677
2,2000002924
689,2000002924
3,2000003177
4,2000003308
57,2000003308
102,2000003308
269,2000003308
357,2000003308
665,2000003308
5,2000003418
99,2000003418
244,2000003418
348,2000003418
645,2000003418
6,2000003640
124,2000003640
254,2000003640
340,2000003640
675,2000003640
7,2000003649
88,2000003649
277,2000003649
389,2000003649
644,2000003649
8,2000003730
100,2000003730
257,2000003730
332,2000003730
677,2000003730
9,2000004070
84,2000004070
114,2000004070
261,2000004070
364,2000004070
487,2000004070
642,2000004070
11,2000004220
133,2000004220
278,2000004220
366,2000004220
641,2000004220
23,2000004278
70,2000004278
132,2000004278
273,2000004278
352,2000004278
682,2000004278
21,2000004365
81,2000004365
113,2000004365
300,2000004365
368,2000004365
683,2000004365
12,2000004490
13,2000005479
63,2000005479
298,2000005479
371,2000005479
684,2000005479
14,2000006161
101,2000006161
255,2000006161
361,2000006161
646,2000006161
15,2000006633
69,2000006633
297,2000006633
365,2000006633
599,2000006633
16,2011549832
256,2011549832
325,2011549832
349,2011549832
687,2011549832
17,2011551765
274,2011551765
362,2011551765
688,2011551765
18,2100003779
445,2100003779
536,2100003779
617,2100003779
19,2100011310
367,2100011310
605,2100011310
20,2200004486
43,2000000998
78,2000000998
108,2000000998
291,2000000998
370,2000000998
406,2000000998
664,2000000998
40,2000001001
75,2000001001
91,2000001001
267,2000001001
333,2000001001
574,2000001001
655,2000001001
32,2000001008
125,2000001008
275,2000001008
339,2000001008
651,2000001008
29,2000001452
82,2000001452
103,2000001452
258,2000001452
343,2000001452
653,2000001452
54,2000002097
123,2000002097
249,2000002097
351,2000002097
668,2000002097
55,2000002380
92,2000002380
246,2000002380
338,2000002380
648,2000002380
56,2000002441
76,2000002441
104,2000002441
241,2000002441
331,2000002441
650,2000002441
47,2000002449
105,2000002449
242,2000002449
334,2000002449
659,2000002449
52,2000002514
296,2000002514
337,2000002514
686,2000002514
51,2000002672
292,2000002672
387,2000002672
654,2000002672
49,2000002725
93,2000002725
253,2000002725
342,2000002725
663,2000002725
50,2000002779
251,2000002779
347,2000002779
679,2000002779
53,2000003074
118,2000003074
248,2000003074
346,2000003074
657,2000003074
46,2000003076
85,2000003076
286,2000003076
372,2000003076
658,2000003076
30,2000003127
95,2000003127
271,2000003127
336,2000003127
652,2000003127
31,2000003434
87,2000003434
89,2000003434
266,2000003434
335,2000003434
656,2000003434
33,2000003979
116,2000003979
262,2000003979
350,2000003979
649,2000003979
48,2000004154
106,2000004154
260,2000004154
359,2000004154
660,2000004154
44,2000004387
107,2000004387
259,2000004387
354,2000004387
661,2000004387
42,2000004457
356,2000004457
662,2000004457
41,2000004701
97,2000004701
647,2000004701
39,2000004900
264,2000004900
360,2000004900
571,2000004900
667,2000004900
38,2000005302
134,2000005302
268,2000005302
636,2000005302
37,2000006018
98,2000006018
272,2000006018
358,2000006018
637,2000006018
45,2000006345
270,2000006345
363,2000006345
690,2000006345
36,2000006638
301,2000006638
373,2000006638
685,2000006638
35,2011549746
94,2011549746
252,2011549746
353,2011549746
638,2011549746
34,2100004729
247,2100004729
465,2100004729
524,2100004729
71,1900007549
67,1900007763
68,1900009380
79,1911547275
66,1911547710
59,1911549027
65,1911549123
64,1911549351
60,2000000558
115,2000000558
299,2000000558
369,2000000558
640,2000000558
58,2000003678
243,2000003678
355,2000003678
639,2000003678
61,2000004897
62,2000004968
131,2000004968
681,2000004968
80,2000005153
122,2000005153
676,2000005153
86,2100004923
484,2100004923
