score id,student id
0,2000001094
1,2000001008
2,2000004387
3,2000002177
4,2000002380
5,2000003127
6,2011549746
7,2000005302
8,2000006161
9,2000003074
10,2000004110
11,2000005479
12,2000004701
13,2000001001
14,2000006018
15,2000003434
16,2000004278
17,2000000558
18,2000001371
19,2100004923
20,2000002677
21,2000003649
22,2000003076
23,2000003640
24,2000001530
25,2000003418
26,2000003979
27,2000003730
28,2000000655
29,2000002449
30,2000004154
31,2000004762
32,2000001008
33,2000004387
34,2000000998
35,2000002380
36,2000004220
37,2000006161
38,2000003074
39,2000004701
40,2000001001
41,2000005824
42,2000003434
43,2000000558
44,2000001452
45,2200004486
46,2000002441
47,2000003649
48,2000004457
49,2000003076
50,2000003418
51,2000003979
52,2000002449
53,2000004154
54,2000004070
55,2000002672
56,2000003678
57,2000002725
58,1900006098
59,1911549395
60,2000004968
61,2000004900
62,2000005153
63,2011549832
64,2000006638
65,2000002665
66,2000002514
67,2000004110
68,2000005479
69,2000006633
70,2000004278
71,2000002677
72,2100008342
73,2000002779
74,2000004365
75,2000003640
76,2000006345
77,2000001530
78,2000002924
79,2000003730
80,2000003645
81,2000002097
82,1900007784
83,2011551765
84,2000004394
85,2000003308
86,2000000050
87,2000002664
88,2000003177
89,2000000740
90,2100006285
91,2100004729
92,2100005423
93,2100010440
94,2100004337
95,2100005686
96,2100004426
97,2100003979
98,2100003284
99,2100003978
100,2100002892
101,2100004451
102,2100004816
103,2100009415
104,2100002375
105,2100004419
106,2100005011
107,1911548779
108,2100007588
109,2100003936
110,2100005013
111,2100005929
112,2100004330
113,2100003991
114,2100009011
115,2100011976
116,2100003025
117,2100007107
118,2100002440
119,1900009380
120,2100005113
121,2100003547
122,2100005569
123,2100002975
124,2100008134
125,2000000998
126,2100006037
127,2100012076
128,2100004031
129,2100004235
130,2100011818
131,2100002892
132,2100009840
133,2100010779
134,2100004816
135,2100009415
136,2100011310
137,2100004923
138,2100012041
139,2100005983
140,2100012340
141,2100008342
142,2100002374
143,2100009299
144,2100004998
145,2000004365
146,2100004330
147,2100010315
148,2100010263
149,2100010071
150,1800005224
151,2100008882
152,2100005113
153,2100006019
154,2000002408
155,2100011037
156,1711542439
157,2100006642
158,2100004092
159,2200006550
160,2200006695
161,2200000873
162,2200004236
163,2200006625
164,2200005231
165,2200000319
166,2200011621
167,2200004209
168,2200004825
169,2200005098
170,2200005193
171,1911548779
172,2200000946
173,2200006620
174,2200001483
175,2200006122
176,2200004766
177,2200006159
178,2100007916
179,2200005605
180,2200006071
181,2200006605
182,2200006985
183,2200004831
184,2200006467
185,2200012160
186,2200006185
187,2200005254
188,2200006654
189,2200005824
190,2200006124
191,2200005842
192,2200005914
193,2200004926
194,2200004202
195,2200008171
196,2200001108
197,2200000400
198,2200009428
199,2200007989
200,2200008348
201,2200006781
202,2200003109
203,2200009232
204,2200000327
205,2200008427
206,2200002495
207,2200010420
208,2200002333
209,2200008115
210,2200007079
211,2200006741
212,2200007832
213,2200008906
214,2200007239
215,2200003885
216,2200007007
217,2200003921
218,2200007066
219,2200011643
220,2200007072
221,2200007143
222,2200008716
223,2200009837
224,2200010487
225,2200000368
226,2200006748
227,2200008798
228,2200007240
229,2200008152
230,2200007402
231,2200007710
232,2200009261
233,2200008438
234,2200011376
235,2200009448
236,2200010565
237,2200009102
238,2200009907
239,2200001765
240,2200004863
241,2200003659
242,2200010444
243,2200011039
244,2200007177
245,2200009882
246,2200011704
247,2200008421
248,2200002208
249,2200000578
250,2200003906
251,2200009620
252,2200008609
253,2200008337
254,2200009825
255,2200002381
256,2200011240
257,2200010269
258,2200007265
259,2200011077
260,2200011573
261,2200009571
262,2200009501
263,2200010286
264,2100008882
265,2200002076
266,2200010216
267,2200009170
268,2200010939
269,2200000333
270,2200007875
271,1900007784
272,2000002677
273,2000002924
274,2000003177
275,2000003308
276,2000003418
277,2000003640
278,2000003649
279,2000003730
280,2000004070
281,2000002665
282,2000004220
283,2000004490
284,2000005479
285,2000006161
286,2000006633
287,2011549832
288,2011551765
289,2100003779
290,2100011310
291,2200004486
292,2000004365
293,2000002664
294,2000004278
295,2000000740
296,2000000655
297,2000001530
298,2000000050
299,2000001094
300,2000001452
301,2000003127
302,2000003434
303,2000001008
304,2000003979
305,2100004729
306,2011549746
307,2000006638
308,2000006018
309,2000005302
310,2000004900
311,2000001001
312,2000004701
313,2000004457
314,2000000998
315,2000004387
316,2000006345
317,2000003076
318,2000002449
319,2000004154
320,2000002725
321,2000002779
322,2000002672
323,2000002514
324,2000003074
325,2000002097
326,2000002380
327,2000002441
328,2000003308
329,2000003678
330,1911549027
331,2000000558
332,2000004897
333,2000004968
334,2000005479
335,1911549351
336,1911549123
337,1911547710
338,1900007763
339,1900009380
340,2000006633
341,2000004278
342,1900007549
343,2000000050
344,2000002665
345,2000001530
346,2000001001
347,2000002441
348,2000002664
349,2000000998
350,1911547275
351,2000005153
352,2000004365
353,2000001452
354,2000000740
355,2000004070
356,2000003076
357,2100004923
358,2000003434
359,2000003649
360,2000003434
361,2000002664
362,2000001001
363,2000002380
364,2000002725
365,2011549746
366,2000003127
367,2000002665
368,2000004701
369,2000006018
370,2000003418
371,2000003730
372,2000006161
373,2000003308
374,2000001452
375,2000002441
376,2000002449
377,2000004154
378,2000004387
379,2000000998
380,1900009054
381,2000004110
382,2000002677
383,2000005824
384,2000004365
385,2000004070
386,2000000558
387,2000003979
388,2000000655
389,2000003074
390,2000001094
391,2000001530
392,1900007784
393,2000005153
394,2000002097
395,2000003640
396,2000001008
397,2000003905
398,2000002491
399,1911548779
400,1900008106
401,1900006098
402,2000004968
403,2000004278
404,2000004220
405,2000005302
406,2000004762
407,2200007240
408,2200009907
409,2200007239
410,2200007072
411,2200007066
412,2200007007
413,2200006775
414,2200004759
415,2200004202
416,2200004133
417,2200003930
418,2200003885
419,2200007710
420,2200003614
421,2200008421
422,2200003539
423,2200003174
424,2200002540
425,2200002455
426,2200002438
427,2200002340
428,2200008609
429,2200002309
430,2200002177
431,2200000601
432,2200008716
