student id,course id,total sessions,excused absense,unexcused absense,absent class period,total class periods,absenteeism rate
2000004968,100107463002,12,0,3,3,45,2.2
2000004278,100107463002,12,0,0,0,45,0.0
2000004220,100107463002,12,3,3,6,45,4.4
2000005302,100107463002,12,0,6,6,45,4.4
2000004762,100107463002,12,0,9,9,45,6.7
2200007240,100107464801,6,0,0,0,60,0.0
2200009907,100107464801,6,0,0,0,60,0.0
2200007239,100107464801,6,0,0,0,60,0.0
2200007072,100107464801,6,0,0,0,60,0.0
2200007066,100107464801,6,0,0,0,60,0.0
2200007007,100107464801,6,0,8,8,60,3.3
2200006775,100107464801,6,0,4,4,60,1.7
2200004759,100107464801,6,0,0,0,60,0.0
2200004202,100107464801,6,0,0,0,60,0.0
2200004133,100107464801,6,0,0,0,60,0.0
2200003930,100107464801,6,4,0,4,60,1.7
2200003885,100107464801,6,0,0,0,60,0.0
2200007710,100107464801,6,0,4,4,60,1.7
2200003614,100107464801,6,0,0,0,60,0.0
2200008421,100107464801,6,0,8,8,60,3.3
2200003539,100107464801,6,0,0,0,60,0.0
2200003174,100107464801,6,0,0,0,60,0.0
2200002540,100107464801,6,0,0,0,60,0.0
2200002455,100107464801,6,0,16,16,60,6.7
2200002438,100107464801,6,0,0,0,60,0.0
2200002340,100107464801,6,0,0,0,60,0.0
2200008609,100107464801,6,0,0,0,60,0.0
2200002309,100107464801,6,0,4,4,60,1.7
2200002177,100107464801,6,0,4,4,60,1.7
2200000601,100107464801,6,0,0,0,60,0.0
2200008716,100107464801,6,0,0,0,60,0.0
2200000578,100107464801,6,0,0,0,60,0.0
2200008798,100107464801,6,0,0,0,60,0.0
2200008906,100107464801,6,0,0,0,60,0.0
2200007402,100107464801,6,0,4,4,60,1.7
2200009825,100107464801,6,0,0,0,60,0.0
2200010444,100107464801,6,0,0,0,60,0.0
2200009232,100107464801,6,0,20,20,60,8.3
2200007143,100107464801,6,0,0,0,60,0.0
2200000584,100107464802,6,0,0,0,60,0.0
2200000368,100107464802,6,8,4,12,60,5.0
2200011039,100107464802,6,0,0,0,60,0.0
2200000400,100107464802,6,0,12,12,60,5.0
2200011573,100107464802,6,0,0,0,60,0.0
2200011866,100107464802,6,0,0,0,60,0.0
2200001248,100107464802,6,4,4,8,60,3.3
2200004825,100107464802,6,0,8,8,60,3.3
2200001259,100107464802,6,0,4,4,60,1.7
2200000405,100107464802,6,0,0,0,60,0.0
2200001492,100107464802,6,0,0,0,60,0.0
2200001450,100107464802,6,0,0,0,60,0.0
2200001268,100107464802,6,0,4,4,60,1.7
2200001377,100107464802,6,0,0,0,60,0.0
2200000548,100107464802,6,0,4,4,60,1.7
2200001381,100107464802,6,0,8,8,60,3.3
2200002208,100107464802,6,0,0,0,60,0.0
2200000337,100107464802,6,0,0,0,60,0.0
2200010565,100107464802,6,0,0,0,60,0.0
2200000333,100107464802,6,0,0,0,60,0.0
2200005231,100107464802,6,0,0,0,60,0.0
2200004236,100107464802,6,0,8,8,60,3.3
2200005605,100107464802,6,0,4,4,60,1.7
2200002824,100107464802,6,0,4,4,60,1.7
2200005914,100107464802,6,0,4,4,60,1.7
2200002381,100107464802,6,0,0,0,60,0.0
2200009882,100107464802,6,4,4,8,60,3.3
2200006612,100107464802,6,4,16,20,60,8.3
2200006185,100107464802,6,0,8,8,60,3.3
2200006625,100107464802,6,4,8,12,60,5.0
2200000215,100107464802,6,0,12,12,60,5.0
2200000268,100107464802,6,8,4,12,60,5.0
2200008438,100107464802,6,0,8,8,60,3.3
2200000318,100107464802,6,0,4,4,60,1.7
2200009837,100107464802,6,4,20,24,60,10.0
2200002238,100107464802,6,0,0,0,60,0.0
2200005824,100107464803,6,0,0,0,60,0.0
2200005193,100107464803,6,0,0,0,60,0.0
2200004831,100107464803,6,0,0,0,60,0.0
2200004209,100107464803,6,0,0,0,60,0.0
2200003906,100107464803,6,0,0,0,60,0.0
2200005098,100107464803,6,0,0,0,60,0.0
2200003109,100107464803,6,0,4,4,60,1.7
2200002925,100107464803,6,0,0,0,60,0.0
2200002592,100107464803,6,0,0,0,60,0.0
2200002333,100107464803,6,0,0,0,60,0.0
2200002193,100107464803,6,0,0,0,60,0.0
2200002160,100107464803,6,0,0,0,60,0.0
2200001483,100107464803,6,0,0,0,60,0.0
2200001108,100107464803,6,0,4,4,60,1.7
2200000327,100107464803,6,0,0,0,60,0.0
2200003659,100107464803,6,0,0,0,60,0.0
2100004235,100107464803,6,0,12,12,60,5.0
2200005842,100107464803,6,0,0,0,60,0.0
2200011240,100107464803,6,0,16,16,60,6.7
2200006122,100107464803,6,0,0,0,60,0.0
2200010487,100107464803,6,0,0,0,60,0.0
2200010286,100107464803,6,0,4,4,60,1.7
2200010174,100107464803,6,0,4,4,60,1.7
2200011295,100107464803,6,0,8,8,60,3.3
2200011643,100107464803,6,0,0,0,60,0.0
2200009571,100107464803,6,0,24,24,60,10.0
2200009501,100107464803,6,0,0,0,60,0.0
2200009428,100107464803,6,0,0,0,60,0.0
2200008171,100107464803,6,0,4,4,60,1.7
2200007265,100107464803,6,0,0,0,60,0.0
2200009261,100107464803,6,0,0,0,60,0.0
2200007177,100107464803,6,0,4,4,60,1.7
2200006124,100107464803,6,0,0,0,60,0.0
2200006748,100107464803,6,0,4,4,60,1.7
2200007079,100107464803,6,0,12,12,60,5.0
2000002441,100107464901,6,0,8,8,60,3.3
2000002449,100107464901,6,0,0,0,60,0.0
2000003678,100107464901,6,0,16,16,60,6.7
2000003418,100107464901,6,0,0,0,60,0.0
2000001371,100107464901,6,0,12,12,60,5.0
2000002380,100107464901,6,0,0,0,60,0.0
2100004729,100107464901,6,0,0,0,60,0.0
2000003074,100107464901,6,0,8,8,60,3.3
2000002097,100107464901,6,0,8,8,60,3.3
2000000740,100107464901,6,0,0,0,60,0.0
2000002779,100107464901,6,0,0,0,60,0.0
2011549746,100107464901,6,0,0,0,60,0.0
2000002725,100107464901,6,0,4,4,60,1.7
2000003640,100107464901,6,0,0,0,60,0.0
2000006161,100107464901,6,0,4,4,60,1.7
2011549832,100107464901,6,0,16,16,60,6.7
2000003730,100107464901,6,0,8,8,60,3.3
2000001452,100107464901,6,0,0,0,60,0.0
2000004387,100107464901,6,0,16,16,60,6.7
2000004154,100107464901,6,0,0,0,60,0.0
2000004070,100107464901,6,0,0,0,60,0.0
2000003979,100107464901,6,0,0,0,60,0.0
2000004110,100107464901,6,0,12,12,60,5.0
2000004900,100107464901,6,0,4,4,60,1.7
2000005824,100107464901,6,0,0,0,60,0.0
2000003434,100107464901,6,0,0,0,60,0.0
2000001001,100107464901,6,0,4,4,60,1.7
2000005302,100107464901,6,0,0,0,60,0.0
2000003308,100107464901,6,0,8,8,60,3.3
2000006345,100107464901,6,0,0,0,60,0.0
2000003127,100107464901,6,0,0,0,60,0.0
2000006018,100107464901,6,0,0,0,60,0.0
2000004278,100107464901,6,0,0,0,60,0.0
2011551765,100107464901,6,0,0,0,60,0.0
2000001008,100107464901,6,0,0,0,60,0.0
2000001094,100107464902,6,0,0,0,60,0.0
2000003649,100107464902,6,0,8,8,60,3.3
2000004220,100107464902,6,0,12,12,60,5.0
2000002664,100107464902,6,0,0,0,60,0.0
2000002491,100107464902,6,0,20,20,60,8.3
2000002665,100107464902,6,0,0,0,60,0.0
2000004762,100107464902,6,0,0,0,60,0.0
2000000655,100107464902,6,0,0,0,60,0.0
2000001530,100107464902,6,0,0,0,60,0.0
2000002677,100107464902,6,0,0,0,60,0.0
2000003076,100107464902,6,0,0,0,60,0.0
2000004394,100107464902,6,0,12,12,60,5.0
2100004092,100107464902,6,0,20,20,60,8.3
2100008882,100107464902,6,0,12,12,60,5.0
2100010440,100107464902,6,0,4,4,60,1.7
2000000998,100107464902,6,0,4,4,60,1.7
2000002672,100107464902,6,0,0,0,60,0.0
2000003645,100107464902,6,0,8,8,60,3.3
2200001483,100107464902,6,0,4,4,60,1.7
1911546534,100107464902,6,0,24,24,60,10.0
2000002514,100107464902,6,0,0,0,60,0.0
2000006633,100107464902,6,0,4,4,60,1.7
2000005479,100107464902,6,0,0,0,60,0.0
2000000558,100107464902,6,0,0,0,60,0.0
2000004365,100107464902,6,0,4,4,60,1.7
2000006638,100107464902,6,0,0,0,60,0.0
2200002135,100107465003,12,0,0,0,45,0.0
2200008609,100107465003,12,0,3,3,45,2.2
2200000946,100107465003,12,0,9,9,45,6.7
2200000873,100107465003,12,0,27,27,45,20.0
2200000633,100107465003,12,0,6,6,45,4.4
2200003471,100107465003,12,0,24,24,45,17.8
2200004766,100107465003,12,0,9,9,45,6.7
2200006695,100107465003,12,0,18,18,45,13.3
2200008421,100107465003,12,0,12,12,45,8.9
2200004236,100107465003,12,0,12,12,45,8.9
2200002160,100107465003,12,0,3,3,45,2.2
2200004825,100107465003,12,0,0,0,45,0.0
2200007177,100107465003,12,0,0,0,45,0.0
2200006124,100107465003,12,0,3,3,45,2.2
2200006122,100107465003,12,0,0,0,45,0.0
2200005842,100107465003,12,0,0,0,45,0.0
2200005824,100107465003,12,0,3,3,45,2.2
2200005193,100107465003,12,0,0,0,45,0.0
2200005098,100107465003,12,0,0,0,45,0.0
2200005231,100107465003,12,0,0,0,45,0.0
2200004831,100107465003,12,0,3,3,45,2.2
2200004209,100107465003,12,0,0,0,45,0.0
2200002925,100107465003,12,0,0,0,45,0.0
2011549832,100107465003,12,0,24,24,45,17.8
2200002238,100107465003,12,0,9,9,45,6.7
2200005605,100107465003,12,0,3,3,45,2.2
2000001371,100107465101,12,1,21,22,45,17.8
1911546534,100107465101,12,0,33,33,45,24.4
2000000740,100107465101,12,0,0,0,45,0.0
2000002441,100107465101,12,0,3,3,45,2.2
2000003730,100107465101,12,0,0,0,45,0.0
2000001001,100107465101,12,0,3,3,45,2.2
2000002449,100107465101,12,3,0,3,45,2.2
2000003434,100107465101,12,0,0,0,45,0.0
2000003127,100107465101,12,3,0,3,45,2.2
2000002514,100107465101,12,0,15,15,45,11.1
2000002380,100107465101,12,0,0,0,45,0.0
2000001008,100107465101,12,0,0,0,45,0.0
2000003640,100107465101,12,0,0,0,45,0.0
2000004110,100107465101,12,2,0,2,45,4.4
2000002725,100107465101,12,0,0,0,45,0.0
2000001452,100107465101,12,0,3,3,45,2.2
2000004762,100107465101,12,0,6,6,45,4.4
2000005824,100107465101,12,1,9,10,45,8.9
2000003074,100107465101,12,1,0,1,45,2.2
2000002779,100107465101,12,3,12,15,45,11.1
2000003418,100107465101,12,6,0,6,45,4.4
2011549832,100107465101,12,0,12,12,45,8.9
2000003979,100107465101,12,0,0,0,45,0.0
2000002097,100107465101,12,0,15,15,45,11.1
2000004278,100107465101,12,0,9,9,45,6.7
2011549746,100107465101,12,0,3,3,45,2.2
2000004387,100107465101,12,6,15,21,45,15.6
2000003678,100107465101,12,0,12,12,45,8.9
2000004457,100107465101,12,0,0,0,45,0.0
2000003308,100107465101,12,0,3,3,45,2.2
2000006018,100107465101,12,0,0,0,45,0.0
2000004154,100107465101,12,3,0,3,45,2.2
2000004900,100107465101,12,0,3,3,45,2.2
2000006161,100107465101,12,3,0,3,45,2.2
2011551765,100107465101,12,0,3,3,45,2.2
2000006345,100107465102,12,0,9,9,45,6.7
2000004070,100107465102,12,0,3,3,45,2.2
2000006633,100107465102,12,0,0,0,45,0.0
2000004220,100107465102,12,3,6,9,45,6.7
2100011310,100107465102,12,3,3,6,45,4.4
2000004365,100107465102,12,3,6,9,45,6.7
2000000558,100107465102,12,0,9,9,45,6.7
2000000998,100107465102,12,0,9,9,45,6.7
2000005479,100107465102,12,0,0,0,45,0.0
2000003076,100107465102,12,0,0,0,45,0.0
2000006638,100107465102,12,0,0,0,45,0.0
2000003645,100107465102,12,1,6,7,45,6.7
2000002677,100107465102,12,4,0,4,45,4.4
2000002665,100107465102,12,0,6,6,45,4.4
2000002664,100107465102,12,0,6,6,45,4.4
2000002491,100107465102,12,3,9,12,45,13.3
2000001094,100107465102,12,0,0,0,45,0.0
2200006071,100107465102,12,0,3,3,45,2.2
2100003991,100107465102,12,0,27,27,45,20.0
2100002240,100107465102,12,0,3,3,45,2.2
2000000655,100107465102,12,0,3,3,45,2.2
2000001530,100107465102,12,0,0,0,45,0.0
1900007784,100107465102,12,10,0,10,45,8.9
2000003905,100107465102,12,3,12,15,45,11.1
2000002672,100107465102,12,0,0,0,45,0.0
2000004394,100107465102,12,0,6,6,45,4.4
2000003649,100107465102,12,0,6,6,45,4.4
2200011116,100107470502,4,0,3,3,75,1.3
2200002160,100107470502,4,0,0,0,75,0.0
2200002193,100107470502,4,0,0,0,75,0.0
2200010474,100107470502,4,0,3,3,75,1.3
2200002592,100107470502,4,0,0,0,75,0.0
2200009759,100107470502,4,0,3,3,75,1.3
2200008277,100107470502,4,0,0,0,75,0.0
2200006549,100107470502,4,0,3,3,75,1.3
2200011295,100107470502,4,0,3,3,75,1.3
2200003649,100107470502,4,0,3,3,75,1.3
2200002135,100107470502,4,0,0,0,75,0.0
2200003451,100107470502,4,0,3,3,75,1.3
2200003358,100107470502,4,0,3,3,75,1.3
2200002704,100107470502,4,0,3,3,75,1.3
2200002464,100107470502,4,0,0,0,75,0.0
2200001578,100107470502,4,0,0,0,75,0.0
2000000998,100107470502,4,0,3,3,75,1.3
2200000633,100107470502,4,0,0,0,75,0.0
2200010174,100107470502,4,0,3,3,75,1.3
2200003893,100107470502,4,0,0,0,75,0.0
2200003614,100107470502,4,0,0,0,75,0.0
2200002925,100107470502,4,0,0,0,75,0.0
2200002309,100107470502,4,0,0,0,75,0.0
2200002177,100107470502,4,0,0,0,75,0.0
2200000601,100107470502,4,0,0,0,75,0.0
2200003930,100107470502,4,0,0,0,75,0.0
2200003539,100107470502,4,0,0,0,75,0.0
2200004133,100107470502,4,0,0,0,75,0.0
2200003174,100107470502,4,0,0,0,75,0.0
