,0,1,accuracy,macro avg,weighted avg
precision,0.8064516129032258,0.7846153846153846,0.7952755905511811,0.7955334987593052,0.7956194681620132
recall,0.78125,0.8095238095238095,0.7952755905511811,0.7953869047619048,0.7952755905511811
f1-score,0.7936507936507936,0.7968749999999999,0.7952755905511811,0.7952628968253967,0.7952502030996125
support,64.0,63.0,0.7952755905511811,127.0,127.0
