,0,1,accuracy,macro avg,weighted avg
precision,0.8135593220338984,0.7761194029850746,0.7936507936507936,0.7948393625094865,0.7948393625094865
recall,0.7619047619047619,0.8253968253968254,0.7936507936507936,0.7936507936507936,0.7936507936507936
f1-score,0.7868852459016393,0.8,0.7936507936507936,0.7934426229508197,0.7934426229508198
support,63.0,63.0,0.7936507936507936,126.0,126.0
