,0,1,accuracy,macro avg,weighted avg
precision,0.5039370078740157,0.0,0.5039370078740157,0.25196850393700787,0.25395250790501583
recall,1.0,0.0,0.5039370078740157,0.5,0.5039370078740157
f1-score,0.6701570680628273,0.0,0.5039370078740157,0.33507853403141363,0.33771694768520427
support,64.0,63.0,0.5039370078740157,127.0,127.0
